7159;2.03;0.90;-9.08
7179;1.97;0.51;-9.41
7198;1.50;1.39;-9.94
7219;1.98;0.63;-11.24
7238;2.47;0.69;-10.14
7258;1.85;0.52;-10.69
7280;1.78;0.55;-10.20
7300;2.26;0.45;-8.34
7319;0.80;0.87;-8.96
7340;2.20;0.80;-9.05
7359;2.23;0.42;-10.04
7378;2.38;1.11;-10.23
7398;2.21;0.25;-9.67
7417;1.85;0.61;-8.96
7438;1.79;0.58;-9.78
7457;1.41;0.78;-9.46
7477;2.17;0.94;-9.77
7496;2.29;1.27;-10.68
7552;2.10;0.61;-8.59
7572;1.58;-0.24;-7.24
7591;0.77;0.87;-8.35
7611;0.99;1.21;-9.34
7630;2.59;-0.20;-9.96
7651;1.14;1.08;-9.56
7670;2.88;1.33;-9.78
7690;1.88;0.78;-11.55
7709;3.38;0.11;-11.03
7732;1.07;0.43;-10.24
7751;1.95;1.30;-7.20
7771;0.43;0.92;-8.54
7791;2.02;1.38;-7.43
7811;0.99;0.21;-9.47
7830;1.41;0.44;-10.18
7849;2.72;0.43;-10.13
7870;1.76;0.62;-11.30
7889;3.77;1.29;-10.33
7909;1.75;0.43;-11.90
7928;3.12;0.68;-10.65
7949;2.01;0.66;-11.44
7968;2.71;1.12;-9.40
7988;1.78;0.69;-10.86
8007;2.40;1.88;-9.66
8027;1.05;0.61;-10.12
8047;2.80;1.31;-7.64
8067;1.23;0.62;-10.62
8086;1.94;2.05;-9.38
8105;0.91;1.29;-10.12
8126;2.73;1.15;-8.59
8147;1.06;0.49;-10.37
8203;3.11;1.07;-10.54
8223;2.02;0.55;-11.15
8243;2.91;1.44;-10.30
8262;2.25;0.35;-10.50
8283;2.06;0.75;-10.41
8302;1.44;0.79;-10.21
8322;1.72;1.17;-9.97
8341;0.99;0.60;-9.35
8360;0.69;1.14;-9.90
8381;1.87;0.56;-8.03
8400;1.61;0.75;-9.66
8420;2.35;1.01;-8.26
8439;1.68;1.00;-9.80
8459;2.66;0.96;-8.08
8478;1.85;0.52;-11.02
8499;2.83;-0.04;-9.61
8518;1.81;0.08;-10.92
8538;1.84;0.32;-9.25
8557;1.49;1.18;-9.89
8578;1.32;0.78;-8.79
8599;2.51;0.88;-9.49
8619;1.98;1.05;-9.72
8639;2.63;1.02;-9.83
8658;2.32;0.91;-10.27
8678;1.84;0.66;-10.13
8697;2.32;0.29;-8.64
8718;0.81;1.12;-9.64
8737;2.40;0.98;-9.51
8757;2.25;0.50;-10.00
8776;2.34;0.42;-10.22
8797;2.54;0.30;-8.34
8852;2.00;0.57;-10.28
8871;2.14;1.71;-10.67
8891;2.32;0.38;-10.28
8911;2.05;0.36;-10.19
8931;1.69;0.45;-9.61
8950;1.45;0.99;-9.16
8970;1.07;1.44;-9.31
8990;0.58;0.94;-11.22
9010;2.99;0.39;-8.78
9029;1.48;-0.23;-9.76
9052;2.58;1.16;-8.57
9071;1.47;0.50;-9.45
9091;2.70;1.14;-8.09
9110;1.60;0.26;-10.05
9131;1.76;1.15;-9.14
9150;1.41;1.33;-10.79
9169;3.11;0.24;-8.14
9189;0.96;0.82;-11.05
9209;1.50;1.41;-9.37
9229;1.81;0.78;-12.21
9248;3.19;0.66;-8.16
9268;0.39;1.24;-9.86
9287;2.58;0.85;-7.13
9308;1.35;1.05;-9.75
9327;2.44;0.31;-7.24
