Column1;Column2;Column3
23024;256;263
23051;256;262
23077;256;263
23104;256;268
23131;260;267
23158;256;262
23185;260;263
23212;256;263
23238;256;263
23265;256;263
23291;256;263
23318;256;263
23343;256;267
23369;260;262
23396;260;268
23424;255;263
23450;256;263
23477;260;262
23539;260;262
23566;260;268
23592;256;268
23619;256;263
23646;256;262
23672;256;263
23702;260;262
23729;260;262
23755;256;263
23782;256;263
23809;256;263
23836;260;262
23863;260;263
23889;256;268
23916;256;267
23943;255;263
23969;260;262
23996;260;263
24026;260;262
24052;256;262
24079;256;263
24105;256;263
24132;256;268
24195;256;262
24222;256;268
24249;256;267
24275;260;264
24302;256;262
24329;256;263
24355;256;264
24385;256;263
24412;256;266
24438;256;262
24465;256;262
24492;256;264
24518;260;263
24545;260;264
24572;256;264
24599;256;268
24626;256;268
24652;256;263
24679;256;268
24706;256;263
24735;255;268
24762;256;264
24788;256;267
24815;256;267
24842;256;262
24868;256;263
24895;260;263
24922;256;262
24948;260;267
24976;256;263
25003;256;263
25029;256;263
25058;256;262
25084;260;267
25112;256;268
25139;256;267
25165;255;262
25192;256;262
25219;256;262
25245;260;263
25308;256;262
25334;256;262
25362;260;262
25389;260;262
25417;255;263
25444;256;264
25472;256;262
25498;260;267
25525;256;264
25551;256;262
25578;256;267
25605;256;263
25631;256;267
25659;256;263
25686;255;267
25712;255;263
25741;256;268
25767;255;263
25831;255;263
25858;256;268
25884;256;263
25911;256;263
25937;256;264
25964;255;263
25991;256;262
26017;256;264
26044;260;267
26071;260;263
26100;256;268
26127;260;268
26153;260;268
26180;256;267
26208;256;267
26234;256;262
26261;256;262
26288;256;268
26314;256;263
26341;256;263
26368;256;263
26394;256;263
26421;256;262
26450;256;263
26477;260;264
26504;256;262
26530;260;262
26557;256;264
26585;256;263
26611;256;263
26638;256;263
26664;256;268
26691;256;267
26718;261;262
26744;256;262
26774;260;261
26801;256;267
26827;256;268
26854;260;264
26882;260;264
26908;257;264
26935;256;267
26961;256;263
26988;256;262
27015;256;266
27077;256;268
27104;256;262
27133;256;262
27160;256;267
27187;255;262
27213;256;264
27240;256;263
27268;260;262
27294;256;263
27321;256;268
27347;256;264
27374;256;263
27401;256;262
27427;256;267
27493;260;264
27520;256;264
27546;256;263
27573;256;264
27599;256;264
27626;256;264
27653;256;264
27679;256;263
27707;256;264
27734;260;263
27760;256;263
27787;260;268
27816;256;263
27843;256;263
27870;256;263
27896;256;263
27923;256;266
27950;255;263
27976;256;267
28003;256;263
28030;260;267
28057;256;267
28084;260;263
28110;260;267
28137;256;263
28167;256;263
28193;256;267
28220;256;262
28247;260;263
28273;256;262
28300;260;267
28326;256;263
28354;256;267
28381;256;264
28407;256;263
28434;256;262
28461;256;263
28490;256;267
28517;256;267
28544;256;268
28570;256;267
28597;256;267
28623;256;267
28650;260;263
28677;256;262
28703;260;263
28731;256;263
28758;256;263
28784;256;268
28849;256;263
28875;256;263
28903;256;267
28930;256;263
28956;260;263
28983;260;268
29009;256;267
29036;256;264
29063;255;263
29125;256;263
29152;256;267
29179;256;263
29208;256;264
29235;256;264
29261;256;262
29288;256;264
29316;256;263
29342;256;267
29369;256;263
29395;256;263
29422;256;262
29449;256;267
29475;256;263
29502;255;264
29532;256;262
29558;256;264
29585;256;267
29612;256;267
29639;256;263
29666;256;264
29692;256;263
29719;260;268
29746;256;263
29772;256;262
29799;260;263
29826;256;263
29853;256;263
29882;256;264
29908;260;262
29935;256;264
29962;256;263
29989;260;263
30016;256;264
