Column1;Column2;Column3;Column4
9880;4.64;0.11;13.85
9902;-2.79;-0.02;9.57
9923;5.46;-0.26;13.98
9945;-0.47;-1.01;11.12
9966;4.48;-0.11;15.31
10023;5.39;-0.62;15.20
10045;2.99;-1.23;10.46
10067;-3.26;-0.03;8.58
10089;1.54;-0.50;10.29
10110;-0.99;-1.28;10.82
10132;3.78;-0.21;16.10
10153;-4.19;-0.59;10.59
10175;5.66;-0.43;15.04
10196;-0.05;-0.13;4.83
10220;-50.18;-67.34;-63.74
10242;0.78;-1.14;13.62
10263;-0.29;4.89;-2.46
10285;-0.02;-0.42;14.43
10307;-1.32;0.12;4.53
10329;-0.77;-1.27;14.13
10350;6.16;-0.57;14.55
10372;-1.20;-1.20;14.28
10393;1.04;0.16;4.71
10415;-1.00;-1.30;13.80
10436;0.77;-0.92;6.06
10458;-1.40;-1.28;12.40
10479;3.38;-0.57;7.51
10501;-2.57;-1.36;10.68
10522;1.91;0.15;9.19
10544;0.13;-0.51;2.33
10565;5.41;-1.10;10.56
10587;-4.28;-1.12;7.60
10608;4.81;0.95;12.93
10630;-2.34;-1.02;6.82
10654;5.65;-1.04;11.42
10712;-1.09;-0.31;4.11
10733;2.17;-0.38;16.71
10755;0.71;-0.44;6.10
10776;4.22;-0.39;16.26
10798;5.37;-0.39;14.37
10819;2.95;0.80;16.12
10841;4.82;-0.15;13.64
10862;4.62;-0.60;16.15
10884;-0.17;0.10;5.33
10906;3.97;-0.43;13.85
10928;-2.82;-1.21;6.94
10949;4.72;0.41;12.81
10971;-2.55;-0.93;8.49
10992;5.21;-0.51;13.25
11014;-0.29;-0.09;5.17
11035;5.04;0.29;12.44
11057;-2.08;-1.22;8.54
11078;4.56;-0.84;13.07
11100;-3.66;-0.44;7.49
11124;5.03;0.51;11.91
11146;0.55;-0.80;3.57
11167;3.44;-0.81;15.88
11189;-4.01;-0.40;5.20
11210;6.16;0.05;16.25
11232;1.01;-1.19;4.03
11253;4.19;-0.26;16.03
11275;-3.03;-0.34;5.82
11296;2.62;0.05;12.33
11318;-0.67;-1.36;9.34
11340;4.16;-0.64;13.70
11362;-1.01;-0.70;12.43
11419;2.96;-0.88;6.21
11441;-3.31;-0.74;10.71
11462;1.06;-0.53;8.02
11484;-0.81;-1.51;10.25
11505;2.04;-0.13;7.05
11527;-2.03;-1.21;10.88
11548;1.35;-0.49;8.81
11571;-1.22;-1.02;10.67
11594;1.44;-0.12;5.81
11616;-1.35;-0.19;3.76
11637;5.92;-0.18;13.86
11659;-1.17;-1.31;12.84
11680;3.01;-0.63;6.33
11702;-1.71;-1.13;12.11
11724;5.21;-0.53;15.55
11746;0.13;-0.36;3.54
11767;0.42;-1.06;7.08
11789;-0.95;-0.69;11.59
11810;0.30;-0.23;7.32
11832;-0.58;-0.75;12.00
11853;-0.46;0.03;5.19
11875;-1.35;-0.99;13.14
11896;0.65;-0.34;4.93
11918;-1.65;-1.10;13.59
11939;1.04;0.37;4.37
11961;-1.99;-1.32;12.76
11982;5.49;-1.12;16.10
12004;-1.83;-0.72;11.19
12028;3.92;-0.39;5.49
12050;-0.30;-0.21;2.40
12071;2.03;0.19;8.22
12129;-1.30;0.00;4.10
12150;4.91;0.04;16.62
12173;-0.07;0.22;5.49
12194;2.82;-0.93;16.86
12216;-1.94;-0.10;4.97
12237;4.64;-0.41;15.78
12259;1.83;-0.12;8.30
12280;1.65;-0.43;16.16
12302;-1.95;0.13;3.09
12323;1.88;-0.22;17.50
12345;0.16;0.13;2.92
12366;0.73;-1.54;17.37
12388;-0.54;0.02;2.66
12409;3.00;-1.71;17.46
12431;-0.32;0.44;3.61
12452;2.58;0.23;15.85
12474;-2.25;-0.31;4.56
12498;1.12;-1.19;15.98
12520;6.13;-0.69;15.74
12541;-0.62;0.75;15.87
12563;2.02;-0.06;16.48
12584;-2.26;-1.56;14.62
12606;3.52;-0.09;6.39
12628;-2.75;-0.93;12.18
12650;6.72;-0.13;9.96
12672;-4.39;-0.41;7.63
12693;5.00;-0.36;19.31
12715;-2.28;-0.44;3.52
12736;4.08;-0.02;19.14
12758;-1.42;0.96;1.36
12779;4.31;-1.86;19.79
12836;-1.35;0.28;1.86
12858;-2.84;-1.42;10.24
12879;4.06;-1.17;10.01
12902;0.96;-0.05;3.60
12923;5.17;0.16;14.32
12947;-7.29;-1.32;7.88
12968;5.07;0.18;16.99
12990;-1.26;-0.75;7.30
13012;9.01;-2.18;10.45
13034;-3.42;0.44;7.07
13056;-1.23;0.18;10.71
13077;3.34;-0.42;11.34
13099;-2.70;-0.39;9.96
13120;-1.29;0.21;7.69
13142;3.27;-4.01;10.18
13163;-2.45;-0.19;10.69
13185;6.01;0.17;8.99
13206;-1.99;-2.24;9.61
13229;2.70;0.05;9.71
13250;4.48;-1.43;12.55
13272;-3.34;-0.56;6.18
13293;4.66;0.43;15.38
13315;-2.32;-0.49;7.34
13336;-0.34;-0.78;8.05
13358;-0.14;-0.76;12.61
13382;3.12;-0.24;16.06
13404;4.79;-0.77;15.73
13425;5.26;-0.01;13.88
13447;5.05;0.44;13.29
13468;-2.92;-0.22;7.82
13490;1.81;0.02;11.13
13547;3.31;-0.03;15.78
13569;5.14;-0.01;12.35
13590;-0.81;-0.11;4.18
13612;4.39;-1.01;11.65
13633;-3.10;-0.02;8.15
13655;3.66;0.02;12.44
13676;-2.19;-0.77;8.83
13699;4.64;-0.36;11.73
13720;-1.24;-0.22;4.72
13742;5.47;-0.62;14.34
13763;-0.43;-0.59;2.86
13785;3.71;0.14;16.01
13806;-2.05;0.22;5.07
13828;4.77;-0.51;16.88
13851;-2.95;-0.66;3.84
13874;2.50;-0.79;18.00
13895;-1.55;-1.43;0.71
13917;-0.71;-1.32;19.15
13938;1.53;-0.07;0.90
13960;-2.94;-1.40;17.67
13981;6.83;1.23;7.78
14003;-7.41;-1.67;11.03
14024;8.07;0.93;13.20
14046;-2.59;-0.83;5.88
14067;5.19;-0.61;16.02
14089;-1.31;1.02;-2.15
14110;-1.18;-1.10;15.18
14133;-3.04;-0.43;8.44
14154;-0.56;-0.51;11.33
14176;1.48;0.35;11.17
14197;-0.17;-1.19;7.56
14255;5.39;-0.29;18.77
14276;-1.76;-0.75;4.70
14298;5.10;0.35;14.08
14322;-3.28;0.21;8.81
14344;0.44;-0.67;8.17
14365;0.12;-0.83;13.70
14387;4.29;-0.28;14.57
14408;-2.10;-0.54;14.59
14430;0.32;-1.23;3.88
14451;-0.57;-1.34;13.94
14473;-0.73;0.19;5.26
14495;-0.48;-1.15;12.60
14517;0.37;0.14;6.97
14538;-0.64;-1.25;11.80
14560;1.55;0.41;6.73
14581;-2.35;-0.53;5.17
14603;4.94;-0.38;17.09
14624;0.92;-0.71;5.26
14646;6.74;-0.77;10.15
14667;-5.91;-1.32;9.77
14689;5.57;1.14;11.06
14710;-2.58;-0.47;8.02
14732;5.01;-1.16;12.34
14756;-2.92;-0.92;8.91
14778;2.15;-0.51;12.90
14799;0.53;-1.35;9.66
14821;-1.51;-0.47;8.46
14842;1.30;-0.29;12.06
14864;-0.41;-0.56;6.48
14886;4.91;-1.50;30.23
14943;-50.18;-67.34;-63.74
14964;-0.83;-1.13;12.80
14986;0.84;0.42;5.60
15007;-1.15;-1.31;12.42
15029;5.29;0.20;14.09
15050;-1.50;-0.70;11.00
15072;4.30;-0.06;15.14
15093;-2.69;-0.82;9.95
15115;5.41;-0.40;16.73
15136;-2.40;-0.61;8.91
15159;4.99;-1.07;13.08
15180;-4.20;-0.23;6.35
15202;5.46;-0.26;16.92
15221;-1.93;-1.15;3.55
15243;2.29;-0.17;18.57
15264;-0.60;0.75;3.14
15286;3.68;-0.73;18.10
15307;4.77;0.06;15.87
15329;3.44;0.40;17.17
15350;-1.98;-0.12;4.31
15372;1.58;-0.61;16.33
15393;0.45;-0.50;3.41
15415;-1.45;0.64;14.93
15437;0.58;-0.32;4.31
15459;-0.52;-0.28;2.26
15480;3.47;-0.91;6.23
15502;-2.46;-0.28;12.40
15523;5.52;0.10;11.22
15545;-4.72;-0.44;8.31
15566;6.19;0.81;16.06
15588;-2.29;-0.64;3.30
15609;1.65;0.18;20.42
15667;1.48;-1.36;5.32
15691;-1.47;-1.41;14.87
15713;2.58;0.26;18.71
15734;-3.30;-1.68;9.83
15756;5.31;0.22;14.45
15777;-2.85;-0.09;4.74
15799;1.27;-0.04;19.06
15821;-0.48;0.57;-1.49
15843;-2.63;-1.81;21.18
15864;3.21;0.51;-1.23
15886;-4.72;-1.87;19.76
15907;8.39;0.10;5.93
15929;-7.65;-2.06;10.98
15950;6.20;0.91;14.62
15972;6.34;1.94;-4.57
15993;-5.79;-1.52;23.11
16015;-1.49;1.77;-7.14
16037;0.17;-2.65;22.24
16059;0.93;0.42;14.00
16080;-3.85;-0.33;15.83
16104;5.74;1.29;4.33
16125;-1.68;-2.40;11.37
16148;-0.82;-0.50;12.39
16169;5.76;-1.13;6.46
16191;-4.44;-1.31;13.10
16212;4.95;-0.63;7.91
16234;-0.90;-0.75;13.55
16256;-1.92;0.32;3.77
16277;-2.63;0.11;-0.34
16299;-1.65;-0.50;5.66
16320;-2.38;0.23;4.54
16377;-3.20;-0.63;9.96
16400;3.18;1.48;11.55
16421;-0.34;0.49;5.45
16443;3.43;-1.17;15.46
16464;3.10;-0.36;9.50
16486;-2.31;-0.81;9.65
16507;3.50;0.09;13.43
16529;-2.80;-0.33;8.91
16550;3.39;0.29;11.34
16575;-0.71;-0.02;3.39
16596;-1.19;-1.16;7.66
16618;2.26;-0.04;12.51
16640;-1.14;0.12;7.20
16661;2.35;-1.13;14.20
16684;-1.49;-0.38;7.03
16705;4.89;-0.15;14.59
16727;-2.92;-1.10;6.91
16748;4.24;-0.17;16.27
16770;-0.89;-0.04;2.84
16791;5.15;0.26;14.82
16813;-2.66;-0.65;5.79
16834;4.49;0.30;14.77
16856;-2.77;-0.47;6.23
16877;-50.18;-67.34;-63.74
16899;-3.03;-0.95;5.99
16920;3.32;0.18;16.22
16942;-2.14;-1.17;4.24
16963;3.79;-0.28;17.12
16985;-1.70;-0.33;3.74
17009;3.04;-0.50;17.16
17067;5.13;-0.56;17.30
17088;0.85;-0.79;1.70
17110;1.91;-0.26;6.60
17131;-2.19;-1.11;10.17
17153;1.09;0.08;8.55
17174;-1.37;-1.34;9.83
17196;4.33;-0.51;8.99
17217;-3.35;-0.84;9.34
17240;2.06;-0.36;9.84
17261;-1.13;-1.67;10.34
17283;2.53;0.37;8.10
17304;-2.67;-0.80;11.60
17326;4.60;-0.25;15.83
17347;-1.12;-1.12;11.71
17369;3.90;0.24;7.02
17390;-3.77;-1.27;10.67
17412;5.74;0.18;15.21
17433;-1.35;-0.85;10.42
17455;4.70;0.40;14.37
17479;-0.69;-1.34;12.47
17501;-0.12;0.24;5.82
17522;-0.39;-1.40;12.51
17544;-50.18;-67.34;-63.74
17564;-2.00;-0.85;12.03
17586;-50.18;-67.34;-63.74
17606;0.39;-0.87;5.77
17628;3.86;-0.01;14.73
17649;-1.50;-1.21;11.96
17671;0.87;-0.62;-0.00
17692;-1.31;-1.21;11.81
17714;3.57;0.23;6.68
17771;-1.56;-0.48;3.12
17793;4.39;-0.12;14.82
17814;-0.38;-0.84;6.04
17836;5.34;0.35;13.96
17857;-0.09;0.65;4.42
17880;-50.18;-67.34;-63.74
17899;3.00;-0.51;6.82
17924;5.20;-1.03;15.80
17945;-2.63;-0.93;7.51
17967;4.26;-0.00;14.14
17988;-0.40;-0.34;4.01
18010;5.42;0.07;14.00
18031;-2.32;-1.12;7.24
18053;-50.18;-67.34;-63.74
18074;-3.89;-0.51;6.89
18096;3.92;0.27;12.03
18117;-1.74;-1.08;9.30
18139;17.15;-1.23;-1.23
18160;-2.26;-1.63;10.75
18182;5.06;-0.11;13.28
18203;-0.05;-1.47;13.18
18226;-1.87;-1.18;5.36
18247;0.38;-1.00;13.81
18269;4.81;-0.63;15.40
18290;1.45;1.02;15.28
18312;-1.88;-0.94;4.63
18333;0.96;-0.29;15.56
18358;0.25;-0.34;4.60
18379;1.58;-0.42;16.44
18401;3.86;-0.17;15.03
18422;0.34;0.17;16.29
18480;0.80;-0.73;3.84
18501;-2.93;-0.05;6.26
18523;4.74;-0.25;17.39
18544;-2.66;-0.64;2.45
18566;1.81;-1.61;18.94
18588;-4.93;0.50;-0.11
18610;0.26;-1.91;21.25
18631;2.41;1.40;-0.06
18653;-0.58;-0.85;19.51
18674;2.56;-1.91;13.43
18696;4.06;-1.11;15.51
18717;-2.63;-0.60;6.28
18739;3.62;-0.18;13.69
18761;6.55;-0.73;13.23
18783;3.50;-0.39;12.94
18804;-0.19;-0.95;7.15
18828;1.38;0.43;13.99
18849;-0.45;-0.32;4.41
18871;2.51;-1.20;18.00
18893;-0.91;-0.07;1.44
18915;1.56;-1.38;19.44
18936;-1.46;0.24;-0.85
18958;0.42;-0.16;20.06
18979;1.25;-0.18;0.56
19001;-0.59;0.33;16.84
19022;5.00;-0.14;17.49
19044;-0.83;-1.13;12.86
19065;0.27;-1.32;6.65
19087;-0.08;-0.70;3.51
19108;13.24;0.00;27.79
19130;-2.70;-0.90;9.22
19188;5.68;0.07;14.06
19210;-0.75;-0.60;3.95
19231;0.29;-0.63;16.41
19253;1.36;-0.50;1.82
19284;1.23;-0.46;16.01
19306;-0.54;-1.33;2.00
19328;-1.57;-1.14;19.29
19349;1.30;-0.62;17.92
19371;-2.84;-1.94;20.39
19392;0.82;-0.95;17.95
19414;-4.98;-1.94;13.46
19436;2.89;0.36;12.10
19458;0.45;-1.37;1.83
19479;-3.22;-0.73;20.35
19501;7.00;1.97;-0.91
19522;-6.30;-3.57;20.41
19544;2.41;2.48;2.37
19565;2.04;-1.64;11.96
19587;-4.78;-0.26;12.11
19608;5.40;0.89;4.76
19630;-5.09;-0.40;15.99
19652;-1.92;0.30;2.84
19674;8.49;-0.78;17.26
19695;-8.88;-0.09;4.14
19719;7.79;-0.98;14.51
19741;4.53;-0.54;8.06
19763;-6.29;-1.04;8.12
